Customer Name,Customer e-mail,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth
Dennis,nunc.nulla.vulputate@dignissimmagnaa.edu,USA,1,49,65850.47688,3912.385616,419556.6198
Kaitlin,parturient@Nuncsollicitudincommodo.co.uk,USA,1,56,66505.38124,3942.76762,621309.5863
Harriet,amet.orci@tellus.net,USA,0,47,58260.57232,4658.41454,507572.635
Tatyana,sem@parturientmontesnascetur.net,USA,0,25,45092.74073,11380.09288,158758.3577
Paula,Nam@enimmitempor.com,USA,1,45,63845.77186,7761.848528,505048.7599
Tamekah,ut.pharetra@ametultricies.net,USA,1,46,55293.575,8276.644566,169475.9968
Brandon,non@purusaccumsaninterdum.com,USA,0,33,87598.01501,10814.57915,485563.7363
Veda,et.euismod@Duis.co.uk,USA,1,43,71753.30877,9119.791422,400703.2655
Seth,Nulla.aliquet@sedturpisnec.co.uk,USA,1,48,45368.15561,12203.48778,577058.1773
Kai,velit@molestie.com,USA,0,48,45362.66982,2524.992105,399437.5235
Piper,erat.neque@mattisvelitjusto.org,USA,0,40,40727.39196,9725.549901,508528.9957
Hillary,ut.mi.Duis@quisarcu.com,USA,1,39,58632.58875,12035.37079,516817.3173
Francis,Phasellus@estcongue.ca,USA,0,39,66680.2741,10263.14899,556945.8742
Rogan,pulvinar@porttitortellus.ca,USA,1,54,75892.3053,8110.946984,177878.1758
Kyle,a.feugiat@enimnisl.com,USA,0,53,59297.41631,9592.433147,567842.1267
Vaughan,Aliquam@aaliquet.com,USA,0,51,92455.72807,9877.169366,285326.3544
India,risus.at.fringilla@feugiat.ca,USA,0,55,32697.98161,10858.02526,218808.7553
Edward,rutrum.urna@faucibusidlibero.co.uk,USA,1,35,55418.75606,8837.654857,312927.9187
Laurel,felis@orciconsectetuereuismod.ca,USA,0,43,68921.40213,8120.204455,515012.2804
Igor,Proin.eget@aliquetnecimperdiet.org,USA,0,37,43739.97829,5933.177726,517110.9454
Diana,purus.ac.tellus@parturientmontesnascetur.org,USA,0,60,81565.95967,9072.063059,544291.9504
Todd,egestas.a@vel.ca,USA,0,44,65364.06334,7839.414396,579640.7982
Zephania,montes@sedsem.ca,USA,1,39,65019.15701,4931.56016,341330.7344
Brock,Vivamus.nisi@elitpharetraut.ca,USA,1,42,58243.17992,15149.03426,649323.7878
Avye,Cras@eros.net,USA,0,32,73558.87334,11164.52652,301245.7708
Serena,odio.Nam@estac.ca,USA,1,52,66088.02369,6769.181833,557098.9636
Barclay,diam.Proin@ut.edu,USA,0,56,54441.72437,4362.720324,432850.4157
Isabella,et.magnis@necmetus.ca,USA,1,41,60101.79725,12989.36784,340720.5185
Mia,sed.est@afelisullamcorper.edu,USA,1,51,50153.43545,6596.01369,266939.1746
Chester,Integer@odioauctor.co.uk,USA,0,58,61430.93415,11561.07365,421891.846
Isaac,pretium.aliquet.metus@pretiumneque.com,USA,0,51,65846.5096,9141.668545,531840.3342
Heather,erat.Etiam@elementum.org,USA,1,29,55433.61187,10769.75059,276466.6203
Justine,orci.adipiscing@penatibuset.com,USA,1,53,62979.60196,14297.25366,247421.9185
Bert,sem.Pellentesque@quis.net,USA,0,43,76523.33258,10373.00856,620355.2658
Gil,Phasellus.fermentum@dictumplacerataugue.net,USA,0,62,63956.1618,16978.52745,360787.6401
Dolan,ipsum.Phasellus@egestasblanditNam.edu,USA,1,60,39460.00348,8769.290288,571245.3714
Cheryl,iaculis.enim@nislelementum.edu,USA,1,37,66923.43536,8611.468093,522814.817
Courtney,porttitor.tellus@elitelit.org,USA,0,43,50051.14039,893.2353408,347177.8367
Neville,felis.Nulla@mi.ca,USA,0,42,61575.9502,594.8049491,497197.264
Gloria,Curabitur.egestas.nunc@fermentumfermentum.ca,USA,0,55,64430.07398,6924.106833,664862.0102
Jonah,augue@risusNuncac.co.uk,USA,1,46,63722.00164,10711.44472,316128.4002
Merrill,dolor.sit@turpisIn.com,USA,1,50,78518.21527,10072.48298,294506.0844
Nolan,Donec.at@neccursus.co.uk,USA,0,55,72424.80112,9831.184792,523680.7699
Winter,egestas.urna.justo@maurissagittis.edu,USA,0,43,77665.17195,13308.87932,349588.5608
Rigel,egestas.blandit.Nam@semvitaealiquam.com,USA,0,52,77345.61633,6736.75168,665099.139
Walter,ligula@Cumsociis.ca,USA,0,41,71942.40291,6995.902524,541670.1016
Vanna,Cum.sociis.natoque@Sedmolestie.edu,USA,1,38,56039.49793,12301.45679,360419.0988
Pearl,penatibus.et@massanonante.com,USA,1,54,68888.77805,10611.60686,764531.3203
Nell,Quisque.varius@arcuVivamussit.net,USA,1,59,49811.99062,14013.03451,337826.6382
Marla,Camaron.marla@hotmail.com,USA,1,47,61370.67766,9391.341628,462946.4924
